Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,All Open Access Documents,Category Normalized Citation Impact,% Hot Papers,Journal Normalized Citation Impact,ISSN,% Highly Cited Papers,Publisher (unified),Source Type,WoS Categories,% All Open Access Documents,Journal Impact Factor,JIF Quartile,Documents in Top 1%,Documents in Top 10%,Hot Papers,% Documents in Top 1%,% Documents in Top 10%,Highly Cited Papers,Times Cited without Self-Citations,International Collaborations,% International Collaborations,Immediacy Index,Average JIF Percentile,Gold Documents,Gold - Hybrid Documents,% Gold Documents,% Gold - Hybrid Documents
GLOBAL CHANGE BIOLOGY,32,1851,12,96.88,29,4.777540625,0.0,1.7109375,1354-1013,9.38,Wiley (Unified),Journal,BIODIVERSITY CONSERVATION;ECOLOGY;ENVIRONMENTAL SCIENCES,90.62,11.6,Q1,5,17,0,15.62,53.12,3,1785,31,96.88,2.2,96.9,0,13,0.0,40.62
NATURE MEDICINE,3,1724,13,100.0,3,33.205733333333335,0.0,3.3800000000000003,1078-8956,33.33,Springer Nature (Unified),Journal,"BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",100.0,82.9,Q1,1,3,0,33.33,100.0,1,1724,3,100.0,21.3,99.5,0,1,0.0,33.33
PHYSICAL REVIEW D,183,1635,14,80.87,180,0.8685349726775956,0.0,0.756448087431694,2470-0010,0.0,,Journal,"ASTRONOMY & ASTROPHYSICS;PHYSICS, PARTICLES & FIELDS",98.36,5.0,Q1,0,15,0,0.0,8.2,0,1144,126,68.85,1.7000000000000002,78.3,0,120,0.0,65.57
NATURE,32,1551,15,84.38,19,5.227250000000001,0.0,0.581875,0028-0836,15.62,Springer Nature (Unified),Journal,MULTIDISCIPLINARY SCIENCES,59.38,64.8,Q1,6,19,0,18.75,59.38,5,1520,27,84.38,13.700000000000001,99.3,0,4,0.0,12.5
SCIENCE ADVANCES,37,1507,16,94.59,37,4.28685945945946,2.7,1.2935135135135136,2375-2548,10.81,,Journal,MULTIDISCIPLINARY SCIENCES,100.0,13.6,Q1,5,21,1,13.51,56.76,4,1489,36,97.3,2.5,91.1,28,0,75.68,0.0
FRONTIERS IN IMMUNOLOGY,133,1420,17,84.96,133,0.7051045112781955,0.0,0.7257894736842105,1664-3224,0.0,,Journal,IMMUNOLOGY,100.0,7.3,Q1,0,7,0,0.0,5.26,0,1277,79,59.4,1.1,78.6,133,0,100.0,0.0
FRONTIERS IN PLANT SCIENCE,121,1390,18,85.95,121,1.194604132231405,0.0,1.0700826446280993,1664-462X,1.65,,Journal,PLANT SCIENCES,100.0,5.6,Q1,1,14,0,0.83,11.57,2,1256,84,69.42,0.8,88.9,119,0,98.35,0.0
LWT-FOOD SCIENCE AND TECHNOLOGY,100,1289,19,99.0,78,1.0078230000000001,0.0,0.7381,0023-6438,0.0,Elsevier (Unified),Journal,FOOD SCIENCE & TECHNOLOGY,78.0,6.0,Q1,0,4,0,0.0,4.0,0,1199,25,25.0,1.4000000000000001,83.5,14,2,14.0,2.0
FOOD CHEMISTRY,73,1223,20,94.52,14,1.2850397260273974,0.0,0.7565753424657535,0308-8146,0.0,Elsevier (Unified),Journal,"CHEMISTRY, APPLIED;FOOD SCIENCE & TECHNOLOGY;NUTRITION & DIETETICS",19.18,8.8,Q1,0,14,0,0.0,19.18,0,1101,24,32.88,2.0,94.2,0,2,0.0,2.74
FRONTIERS IN CELLULAR NEUROSCIENCE,31,1177,21,90.32,31,1.4057806451612904,0.0,1.317741935483871,1662-5102,3.23,,Journal,NEUROSCIENCES,100.0,5.3,Q1,1,3,0,3.23,9.68,1,1164,13,41.94,0.9,77.4,31,0,100.0,0.0
PHYSICAL REVIEW LETTERS,65,1165,22,90.77,63,1.8221646153846154,0.0,0.81,0031-9007,3.08,,Journal,"PHYSICS, MULTIDISCIPLINARY",96.92,8.6,Q1,2,15,0,3.08,23.08,2,1105,57,87.69,2.4,90.0,0,36,0.0,55.38
FOOD HYDROCOLLOIDS,60,1144,23,90.0,17,1.300776666666667,0.0,0.5821666666666666,0268-005X,0.0,Elsevier (Unified),Journal,"CHEMISTRY, APPLIED;CHEMISTRY, PHYSICAL;FOOD SCIENCE & TECHNOLOGY",28.33,10.7,Q1,0,13,0,0.0,21.67,0,1024,19,31.67,2.2,96.0,0,2,0.0,3.33
FOOD RESEARCH INTERNATIONAL,69,1118,24,89.86,19,1.3142739130434782,0.0,0.8766666666666667,0963-9969,1.45,Elsevier (Unified),Journal,FOOD SCIENCE & TECHNOLOGY,27.54,8.1,Q1,2,12,0,2.9,17.39,1,1052,28,40.58,1.4000000000000001,93.3,0,1,0.0,1.45
FRONTIERS IN MICROBIOLOGY,110,1098,25,80.91,110,0.753609090909091,0.0,0.7641818181818182,1664-302X,0.0,,Journal,MICROBIOLOGY,100.0,5.2,Q2,0,7,0,0.0,6.36,0,991,75,68.18,0.8,72.2,110,0,100.0,0.0
PHYSICS LETTERS B,53,1098,25,86.79,53,2.0112396226415097,0.0,1.409811320754717,0370-2693,1.89,Elsevier (Unified),Journal,"ASTRONOMY & ASTROPHYSICS;PHYSICS, MULTIDISCIPLINARY;PHYSICS, NUCLEAR;PHYSICS, PARTICLES & FIELDS",100.0,4.3,Q1,4,23,0,7.55,43.4,1,1044,49,92.45,1.7000000000000002,77.4,53,0,100.0,0.0
