Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,All Open Access Documents,Category Normalized Citation Impact,% Hot Papers,Journal Normalized Citation Impact,ISSN,% Highly Cited Papers,Publisher (unified),Source Type,WoS Categories,% All Open Access Documents,Journal Impact Factor,JIF Quartile,Documents in Top 1%,Documents in Top 10%,Hot Papers,% Documents in Top 1%,% Documents in Top 10%,Highly Cited Papers,Times Cited without Self-Citations,International Collaborations,% International Collaborations,Immediacy Index,Average JIF Percentile,Gold Documents,Gold - Hybrid Documents,% Gold Documents,% Gold - Hybrid Documents
THEORETICAL AND APPLIED GENETICS,4,57,948,75.0,3,1.6346500000000002,0.0,1.065,0040-5752,0.0,Springer Nature (Unified),Journal,"AGRICULTURE, DAIRY & ANIMAL SCIENCE;AGRONOMY;GENETICS & HEREDITY;HORTICULTURE;PLANT SCIENCES",75.0,5.4,Q1,0,1,0,0.0,25.0,0,52,4,100.0,1.2,87.9,0,2,0.0,50.0
JOURNAL OF CONTAMINANT HYDROLOGY,3,57,948,66.67,0,1.9476666666666669,0.0,2.29,0169-7722,0.0,Elsevier (Unified),Journal,"ENVIRONMENTAL SCIENCES;GEOSCIENCES, MULTIDISCIPLINARY;WATER RESOURCES",0.0,3.6,Q2,0,1,0,0.0,33.33,0,56,1,33.33,1.2,62.7,0,0,0.0,0.0
CHEMCATCHEM,10,57,948,80.0,4,0.5222100000000001,0.0,0.93,1867-3880,0.0,Wiley (Unified),Journal,"CHEMISTRY, PHYSICAL",40.0,4.5,Q2,0,0,0,0.0,0.0,0,55,5,50.0,1.0,61.2,0,1,0.0,10.0
IEEE TRANSACTIONS ON MEDICAL IMAGING,3,57,948,100.0,2,2.1887000000000003,0.0,1.0066666666666666,0278-0062,0.0,IEEE (Unified),Journal,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;ENGINEERING, BIOMEDICAL;ENGINEERING, ELECTRICAL & ELECTRONIC;IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",66.67,10.6,Q1,0,2,0,0.0,66.67,0,54,3,100.0,2.1,93.7,0,0,0.0,0.0
BRAIN RESEARCH,5,57,948,80.0,1,0.8217000000000001,0.0,1.2360000000000002,0006-8993,0.0,Elsevier (Unified),Journal,NEUROSCIENCES,20.0,2.9,Q3,0,0,0,0.0,0.0,0,57,1,20.0,0.5,36.2,0,0,0.0,0.0
WEATHER AND CLIMATE EXTREMES,4,57,948,100.0,4,1.760475,0.0,1.1099999999999999,2212-0947,0.0,Elsevier (Unified),Journal,METEOROLOGY & ATMOSPHERIC SCIENCES,100.0,8.0,Q1,0,1,0,0.0,25.0,0,53,2,50.0,1.1,92.0,4,0,100.0,0.0
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,3,57,948,66.67,3,1.2621000000000002,0.0,1.0933333333333335,1774-0746,0.0,Springer Nature (Unified),Journal,AGRONOMY;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,100.0,7.3,Q1,0,1,0,0.0,33.33,0,57,2,66.67,1.0,80.7,0,2,0.0,66.67
EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,23,57,948,78.26,6,0.4530217391304348,0.0,0.7956521739130435,1434-1948,0.0,Wiley (Unified),Journal,"CHEMISTRY, INORGANIC & NUCLEAR",26.09,2.3,Q2,0,0,0,0.0,0.0,0,53,14,60.87,0.8,51.2,0,2,0.0,8.7
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,9,56,962,88.89,6,0.8254,0.0,0.9822222222222222,0947-5745,0.0,,Journal,EVOLUTIONARY BIOLOGY;ZOOLOGY,66.67,1.9,Q2,0,1,0,0.0,11.11,0,56,4,44.44,0.2,49.9,6,0,66.67,0.0
NEOTROPICAL ICHTHYOLOGY,14,56,962,92.86,14,0.8918785714285714,0.0,1.1757142857142857,1679-6225,0.0,,Journal,ZOOLOGY,100.0,1.7,Q2,0,1,0,0.0,7.14,0,49,9,64.29,0.4,68.1,13,0,92.86,0.0
JOURNAL OF AFRICAN EARTH SCIENCES,7,56,962,85.71,3,0.8275857142857144,0.0,1.3942857142857146,1464-343X,0.0,Elsevier (Unified),Journal,"GEOSCIENCES, MULTIDISCIPLINARY",42.86,2.3,Q3,0,1,0,0.0,14.29,0,55,4,57.14,0.4,42.3,0,1,0.0,14.29
SAUDI PHARMACEUTICAL JOURNAL,2,56,962,100.0,2,2.5886,0.0,2.19,1319-0164,0.0,Elsevier (Unified),Journal,PHARMACOLOGY & PHARMACY,100.0,4.1,Q2,0,1,0,0.0,50.0,0,56,1,50.0,0.8,66.4,2,0,100.0,0.0
CHEMOSENSORS,3,56,962,100.0,3,0.9150333333333335,0.0,1.34,n/a,0.0,,Journal,"CHEMISTRY, ANALYTICAL;ELECTROCHEMISTRY;INSTRUMENTS & INSTRUMENTATION",100.0,4.2,Q2,0,0,0,0.0,0.0,0,54,1,33.33,1.0,68.6,3,0,100.0,0.0
ENVIRONMENTAL TECHNOLOGY,10,56,962,100.0,2,0.33746,0.0,0.651,0959-3330,0.0,Taylor & Francis (Unified),Journal,ENVIRONMENTAL SCIENCES,20.0,2.8,Q3,0,0,0,0.0,0.0,0,54,1,10.0,0.5,41.3,0,0,0.0,0.0
"ALZHEIMER'S & DEMENTIA: DIAGNOSIS, ASSESSMENT & DISEASE MONITORING",4,56,962,100.0,4,1.4806000000000001,0.0,1.2725,n/a,0.0,Wiley (Unified),Journal,CLINICAL NEUROLOGY;NEUROSCIENCES,100.0,5.3,n/a,0,1,0,0.0,25.0,0,56,4,100.0,0.5,n/a,4,0,100.0,0.0
LANDSCAPE AND URBAN PLANNING,6,56,962,66.67,1,0.8767166666666667,0.0,0.33499999999999996,0169-2046,0.0,Elsevier (Unified),Journal,"ECOLOGY;ENVIRONMENTAL STUDIES;GEOGRAPHY;GEOGRAPHY, PHYSICAL;REGIONAL & URBAN PLANNING;URBAN STUDIES",16.67,9.1,Q1,0,0,0,0.0,0.0,0,54,2,33.33,2.4,96.0,0,1,0.0,16.67
BMC CANCER,8,56,962,100.0,8,0.537475,0.0,0.65,1471-2407,0.0,Springer Nature (Unified),Journal,ONCOLOGY,100.0,3.8,Q2,0,0,0,0.0,0.0,0,55,2,25.0,0.7000000000000001,55.0,8,0,100.0,0.0
GLIA,9,56,962,66.67,1,0.5805555555555555,0.0,0.41333333333333333,0894-1491,0.0,Wiley (Unified),Journal,NEUROSCIENCES,11.11,6.2,Q1,0,0,0,0.0,0.0,0,53,2,22.22,1.3,85.8,0,0,0.0,0.0
EUROPEAN NEUROPSYCHOPHARMACOLOGY,4,56,962,25.0,1,4.696025000000001,0.0,3.1225,0924-977X,25.0,Elsevier (Unified),Conference Proceedings,CLINICAL NEUROLOGY;NEUROSCIENCES;PHARMACOLOGY & PHARMACY;PSYCHIATRY,25.0,5.6,Q1,1,1,0,25.0,25.0,1,56,3,75.0,1.8,80.8,0,0,0.0,0.0
JOURNAL OF PHYSICS D-APPLIED PHYSICS,16,55,973,87.5,4,0.3080125,0.0,0.47750000000000004,0022-3727,0.0,,Journal,"PHYSICS, APPLIED",25.0,3.4,Q2,0,0,0,0.0,0.0,0,53,7,43.75,1.2,64.7,0,0,0.0,0.0
NEUROPSYCHOPHARMACOLOGY,5,55,973,100.0,5,1.0827200000000001,0.0,0.674,0893-133X,0.0,Springer Nature (Unified),Journal,NEUROSCIENCES;PHARMACOLOGY & PHARMACY;PSYCHIATRY,100.0,7.6,Q1,0,0,0,0.0,0.0,0,54,5,100.0,1.3,90.1,0,1,0.0,20.0
SUSTAINABILITY SCIENCE,7,55,973,71.43,5,0.5955428571428572,0.0,0.5428571428571428,1862-4065,0.0,Springer Nature (Unified),Journal,ENVIRONMENTAL SCIENCES;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,71.43,6.0,Q1,0,0,0,0.0,0.0,0,51,5,71.43,1.8,66.0,0,3,0.0,42.86
NEUROBIOLOGY OF DISEASE,9,55,973,55.56,9,1.5236444444444444,0.0,1.017777777777778,0969-9961,0.0,Elsevier (Unified),Journal,CLINICAL NEUROLOGY;NEUROSCIENCES,100.0,6.1,Q1,0,2,0,0.0,22.22,0,51,7,77.78,1.5,84.7,6,1,66.67,11.11
METABOLITES,5,55,973,100.0,5,1.8049600000000001,0.0,2.41,2218-1989,0.0,,Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY,100.0,4.1,Q2,0,1,0,0.0,20.0,0,47,4,80.0,0.8,60.9,5,0,100.0,0.0
FRONTIERS IN PSYCHIATRY,8,55,973,75.0,8,0.9722000000000001,0.0,1.135,1664-0640,0.0,,Journal,PSYCHIATRY,100.0,4.7,Q2,0,0,0,0.0,0.0,0,51,7,87.5,0.6,69.4,8,0,100.0,0.0
JOURNAL OF BASIC MICROBIOLOGY,10,55,973,90.0,0,0.6237,0.0,1.224,0233-111X,0.0,Wiley (Unified),Journal,MICROBIOLOGY,0.0,3.1,Q3,0,0,0,0.0,0.0,0,53,1,10.0,0.5,41.1,0,0,0.0,0.0
GLOBALIZATIONS,3,55,973,100.0,0,5.926533333333334,0.0,3.72,1474-7731,0.0,Taylor & Francis (Unified),Journal,"INTERNATIONAL RELATIONS;SOCIAL SCIENCES, INTERDISCIPLINARY",0.0,2.5,Q2,1,2,0,33.33,66.67,0,49,0,0.0,0.4,69.3,0,0,0.0,0.0
CANCER AND METASTASIS REVIEWS,2,55,973,100.0,1,2.8049,0.0,2.54,0167-7659,0.0,Springer Nature (Unified),Journal,ONCOLOGY,50.0,9.2,Q1,0,1,0,0.0,50.0,0,55,1,50.0,1.6,85.7,0,1,0.0,50.0
JOURNAL OF INFECTIOUS DISEASES,10,55,973,60.0,6,0.60501,0.0,0.442,0022-1899,0.0,Oxford University Press (Unified),Journal,IMMUNOLOGY;INFECTIOUS DISEASES;MICROBIOLOGY,60.0,6.4,Q1,0,0,0,0.0,0.0,0,53,2,20.0,2.7,79.0,0,3,0.0,30.0
AMERICAN JOURNAL OF HUMAN GENETICS,3,55,973,100.0,3,1.9593666666666667,0.0,0.79,0002-9297,0.0,Elsevier (Unified),Journal,GENETICS & HEREDITY,100.0,9.8,Q1,0,1,0,0.0,33.33,0,54,3,100.0,1.8,93.9,0,2,0.0,66.67
JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,18,55,973,61.11,10,0.2579222222222223,0.0,0.5994444444444444,0953-4075,0.0,,Journal,"OPTICS;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",55.56,1.6,Q4,0,0,0,0.0,0.0,0,49,7,38.89,0.4,23.4,0,1,0.0,5.56
JOURNAL OF PHARMACEUTICAL SCIENCES,11,55,973,81.82,4,0.5842272727272728,0.0,0.6845454545454546,0022-3549,0.0,Elsevier (Unified),Journal,"CHEMISTRY, MEDICINAL;CHEMISTRY, MULTIDISCIPLINARY;PHARMACOLOGY & PHARMACY",36.36,3.8,Q2,0,0,0,0.0,0.0,0,55,2,18.18,1.3,58.2,0,1,0.0,9.09
JOURNAL OF EVOLUTIONARY BIOLOGY,8,55,973,75.0,6,0.6172375000000001,0.0,1.0525,1010-061X,0.0,Wiley (Unified),Journal,BIOLOGY;ECOLOGY;EVOLUTIONARY BIOLOGY;GENETICS & HEREDITY,75.0,2.1,Q3,0,0,0,0.0,0.0,0,53,6,75.0,0.5,33.1,0,0,0.0,0.0
LANCET DIGITAL HEALTH,1,55,973,100.0,1,3.5438,0.0,0.7000000000000001,n/a,0.0,Elsevier (Unified),Journal,"MEDICAL INFORMATICS;MEDICINE, GENERAL & INTERNAL",100.0,30.8,Q1,0,1,0,0.0,100.0,0,53,1,100.0,4.7,97.0,1,0,100.0,0.0
JOURNAL OF AVIAN BIOLOGY,9,55,973,100.0,3,1.7209222222222222,0.0,1.228888888888889,0908-8857,0.0,Wiley (Unified),Journal,ORNITHOLOGY,33.33,1.7,Q1,0,1,0,0.0,11.11,0,53,4,44.44,0.4,78.3,0,1,0.0,11.11
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,13,55,973,61.54,12,0.8681692307692308,0.0,0.5915384615384616,0067-0049,0.0,,Journal,ASTRONOMY & ASTROPHYSICS,92.31,8.7,Q1,0,1,0,0.0,7.69,0,43,13,100.0,2.9000000000000004,90.6,7,0,53.85,0.0
TOXINS,10,55,973,90.0,10,0.47218,0.0,0.505,2072-6651,0.0,,Journal,FOOD SCIENCE & TECHNOLOGY;TOXICOLOGY,100.0,4.2,Q1,0,0,0,0.0,0.0,0,49,7,70.0,0.9,72.4,10,0,100.0,0.0
SCIENCE AS CULTURE,5,55,973,80.0,1,5.973540000000001,0.0,1.4300000000000002,0950-5431,0.0,Taylor & Francis (Unified),Journal,CULTURAL STUDIES;HISTORY & PHILOSOPHY OF SCIENCE,20.0,2.6,Q1,1,3,0,20.0,60.0,0,51,3,60.0,1.9000000000000001,91.4,0,1,0.0,20.0
JOURNAL OF CELLULAR BIOCHEMISTRY,8,55,973,87.5,1,0.5088,0.0,0.8150000000000001,0730-2312,0.0,Wiley (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,12.5,4.0,Q2,0,0,0,0.0,0.0,0,53,3,37.5,1.2,52.1,0,0,0.0,0.0
ANNALS OF MATHEMATICS,1,55,973,100.0,1,12.4581,0.0,2.0500000000000003,0003-486X,100.0,,Journal,MATHEMATICS,100.0,4.9,Q1,1,1,0,100.0,100.0,1,53,0,0.0,1.9000000000000001,99.2,0,0,0.0,0.0
FOOD CHEMISTRY-X,3,55,973,66.67,3,1.0838666666666668,0.0,0.7600000000000001,2590-1575,0.0,Elsevier (Unified),Journal,"CHEMISTRY, APPLIED",100.0,6.1,Q1,0,1,0,0.0,33.33,0,54,2,66.67,1.7000000000000002,87.0,3,0,100.0,0.0
APPLIED PHYSICS LETTERS,14,55,973,85.71,13,0.3491142857142857,0.0,0.44,0003-6951,0.0,,Journal,"PHYSICS, APPLIED",92.86,4.0,Q2,0,0,0,0.0,0.0,0,51,10,71.43,0.9,70.3,0,1,0.0,7.14
BEHAVIOURAL PROCESSES,15,54,996,80.0,2,0.43938,0.0,0.7293333333333334,0376-6357,0.0,Elsevier (Unified),Journal,"BEHAVIORAL SCIENCES;PSYCHOLOGY, BIOLOGICAL;ZOOLOGY",13.33,1.3,Q2,0,1,0,0.0,6.67,0,54,2,13.33,0.5,30.0,0,0,0.0,0.0
REVISTA DE BIOLOGIA TROPICAL,29,54,996,65.52,22,0.1851137931034483,0.0,0.990344827586207,0034-7744,0.0,,Journal,BIOLOGY,75.86,0.6,Q4,0,0,0,0.0,0.0,0,53,9,31.03,0.4,10.3,22,0,75.86,0.0
HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,6,54,996,100.0,1,0.6086666666666667,0.0,0.6016666666666667,0262-6667,0.0,Taylor & Francis (Unified),Journal,WATER RESOURCES,16.67,n/a,n/a,0,0,0,0.0,0.0,0,53,0,0.0,n/a,n/a,0,0,0.0,0.0
"ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 52, 2021",2,54,996,100.0,1,1.7098,0.0,1.375,n/a,0.0,,Book,n/a,50.0,n/a,n/a,0,1,0,0.0,50.0,0,54,2,100.0,n/a,n/a,0,0,0.0,0.0
ACS MEDICINAL CHEMISTRY LETTERS,3,54,996,66.67,2,1.5875000000000001,0.0,1.1300000000000001,1948-5875,0.0,,Journal,"CHEMISTRY, MEDICINAL",66.67,4.2,Q2,0,1,0,0.0,33.33,0,53,1,33.33,1.3,65.8,0,1,0.0,33.33
ENVIRONMENTAL RESEARCH LETTERS,6,54,996,100.0,6,1.25105,0.0,1.02,1748-9326,0.0,,Journal,ENVIRONMENTAL SCIENCES;METEOROLOGY & ATMOSPHERIC SCIENCES,100.0,6.7,Q1,0,2,0,0.0,33.33,0,50,6,100.0,1.3,84.2,6,0,100.0,0.0
JOURNAL OF PHYSICS-ENERGY,3,54,996,100.0,3,0.4506666666666667,0.0,0.54,2515-7655,0.0,,Journal,"ENERGY & FUELS;MATERIALS SCIENCE, MULTIDISCIPLINARY",100.0,6.9,Q1,0,0,0,0.0,0.0,0,52,3,100.0,1.3,74.0,3,0,100.0,0.0
JOURNAL OF MATERIALS SCIENCE,16,54,996,81.25,3,0.44970000000000004,0.0,0.71875,0022-2461,0.0,Springer Nature (Unified),Journal,"MATERIALS SCIENCE, MULTIDISCIPLINARY",18.75,4.5,Q2,0,0,0,0.0,0.0,0,50,7,43.75,1.0,62.4,0,2,0.0,12.5
CELL HOST & MICROBE,2,54,996,100.0,2,2.56165,0.0,0.5,1931-3128,0.0,Elsevier (Unified),Journal,MICROBIOLOGY;PARASITOLOGY;VIROLOGY,100.0,30.3,Q1,0,2,0,0.0,100.0,0,53,2,100.0,7.4,98.2,0,2,0.0,100.0
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,3,54,996,100.0,2,0.7407,0.0,1.6733333333333331,0934-0866,0.0,Wiley (Unified),Journal,"CHEMISTRY, PHYSICAL;ENGINEERING, CHEMICAL;MATERIALS SCIENCE, CHARACTERIZATION & TESTING;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",66.67,2.7,Q3,0,0,0,0.0,0.0,0,52,3,100.0,0.6,33.3,0,1,0.0,33.33
JOURNAL OF OPTICS,12,54,996,91.67,4,0.5900666666666666,0.0,0.9391666666666666,2040-8978,0.0,,Journal,OPTICS,33.33,2.1,Q3,0,0,0,0.0,0.0,0,45,7,58.33,0.9,35.5,0,0,0.0,0.0
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,3,53,1007,100.0,3,1.3129,0.0,1.2666666666666668,1319-562X,0.0,Elsevier (Unified),Journal,BIOLOGY,100.0,4.4,Q1,0,0,0,0.0,0.0,0,52,0,0.0,1.7000000000000002,77.7,3,0,100.0,0.0
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,9,53,1007,77.78,4,0.6339555555555556,0.0,1.3711111111111112,1073-5623,0.0,Springer Nature (Unified),Journal,"MATERIALS SCIENCE, MULTIDISCIPLINARY;METALLURGY & METALLURGICAL ENGINEERING",44.44,2.8,Q2,0,0,0,0.0,0.0,0,52,5,55.56,0.5,55.4,0,0,0.0,0.0
WORLD JOURNAL OF STEM CELLS,3,53,1007,100.0,3,0.7997666666666667,0.0,1.4800000000000002,1948-0210,0.0,,Journal,CELL & TISSUE ENGINEERING;CELL BIOLOGY,100.0,4.1,Q3,0,0,0,0.0,0.0,0,51,2,66.67,0.7000000000000001,49.0,0,3,0.0,100.0
INTERNATIONAL JOURNAL OF FATIGUE,5,53,1007,80.0,0,1.2773800000000002,0.0,0.89,0142-1123,0.0,Elsevier (Unified),Journal,"ENGINEERING, MECHANICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY",0.0,6.0,Q1,0,1,0,0.0,20.0,0,42,2,40.0,1.9000000000000001,81.2,0,0,0.0,0.0
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,8,53,1007,100.0,4,0.5486375000000001,0.0,0.90625,0268-3768,0.0,Springer Nature (Unified),Journal,"AUTOMATION & CONTROL SYSTEMS;ENGINEERING, MANUFACTURING",50.0,3.4,Q2,0,0,0,0.0,0.0,0,45,5,62.5,0.7000000000000001,51.6,0,1,0.0,12.5
ACS BIOMATERIALS SCIENCE & ENGINEERING,3,53,1007,100.0,0,0.9137333333333334,0.0,1.2966666666666669,2373-9878,0.0,,Journal,"MATERIALS SCIENCE, BIOMATERIALS",0.0,5.7,Q2,0,0,0,0.0,0.0,0,52,1,33.33,1.1,65.6,0,0,0.0,0.0
JOURNAL OF PSYCHIATRIC RESEARCH,7,53,1007,85.71,3,0.631,0.0,0.5357142857142858,0022-3956,0.0,Elsevier (Unified),Journal,PSYCHIATRY,42.86,4.8,Q2,0,0,0,0.0,0.0,0,50,4,57.14,0.8,70.7,0,0,0.0,0.0
EARTH AND PLANETARY SCIENCE LETTERS,5,53,1007,80.0,3,1.3986,0.0,0.914,0012-821X,0.0,Elsevier (Unified),Journal,GEOCHEMISTRY & GEOPHYSICS,60.0,5.3,Q1,0,1,0,0.0,20.0,0,53,5,100.0,1.4000000000000001,92.5,0,2,0.0,40.0
BILINGUALISM-LANGUAGE AND COGNITION,2,53,1007,100.0,0,2.18895,0.0,1.32,1366-7289,0.0,,Journal,"LINGUISTICS;PSYCHOLOGY, EXPERIMENTAL",0.0,3.6,Q1,0,1,0,0.0,50.0,0,49,2,100.0,0.8,85.6,0,0,0.0,0.0
"ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 51, 2020",1,52,1016,100.0,1,1.6760000000000002,0.0,1.1700000000000002,n/a,0.0,,Book,n/a,100.0,n/a,n/a,0,0,0,0.0,0.0,0,52,1,100.0,n/a,n/a,0,0,0.0,0.0
WORLD JOURNAL OF GASTROENTEROLOGY,5,52,1016,80.0,5,0.63898,0.0,0.722,1007-9327,0.0,,Journal,GASTROENTEROLOGY & HEPATOLOGY,100.0,4.3,Q2,0,0,0,0.0,0.0,0,51,1,20.0,0.8,65.1,0,5,0.0,100.0
ECOTOXICOLOGY,11,52,1016,81.82,5,0.5692454545454546,0.0,1.0145454545454546,0963-9292,0.0,Springer Nature (Unified),Journal,ECOLOGY;ENVIRONMENTAL SCIENCES;TOXICOLOGY,45.45,2.7,Q2,0,0,0,0.0,0.0,0,47,2,18.18,0.7000000000000001,43.8,0,0,0.0,0.0
VACCINES,12,52,1016,75.0,12,0.6083000000000001,0.0,0.5341666666666667,2076-393X,0.0,,Journal,"IMMUNOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",100.0,7.8,Q1,0,0,0,0.0,0.0,0,44,10,83.33,1.7000000000000002,81.6,12,0,100.0,0.0
"ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY, VOL 59",1,52,1016,100.0,0,1.6031,0.0,0.76,n/a,0.0,,Book,n/a,0.0,n/a,n/a,0,0,0,0.0,0.0,0,51,1,100.0,n/a,n/a,0,0,0.0,0.0
EXPERT REVIEW OF CLINICAL IMMUNOLOGY,1,52,1016,100.0,1,1.1727,0.0,2.2,1744-666X,0.0,Taylor & Francis (Unified),Journal,IMMUNOLOGY,100.0,4.4,Q2,0,0,0,0.0,0.0,0,51,1,100.0,0.9,52.5,0,0,0.0,0.0
EPILEPSIA OPEN,4,52,1016,100.0,4,0.9303250000000001,0.0,1.2275,n/a,0.0,Wiley (Unified),Journal,CLINICAL NEUROLOGY;NEUROSCIENCES,100.0,3.0,Q3,0,0,0,0.0,0.0,0,49,3,75.0,0.6,44.3,3,0,75.0,0.0
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,1,52,1016,100.0,0,0.9588000000000001,0.0,1.0,0951-192X,0.0,Taylor & Francis (Unified),Journal,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;ENGINEERING, MANUFACTURING;OPERATIONS RESEARCH & MANAGEMENT SCIENCE",0.0,4.1,Q2,0,0,0,0.0,0.0,0,44,0,0.0,0.7000000000000001,61.5,0,0,0.0,0.0
ENGINEERING STRUCTURES,6,52,1016,83.33,1,0.9436666666666668,0.0,0.7216666666666667,0141-0296,0.0,Elsevier (Unified),Journal,"ENGINEERING, CIVIL",16.67,5.5,Q1,0,0,0,0.0,0.0,0,46,1,16.67,1.4000000000000001,86.7,0,0,0.0,0.0
MOLECULAR PSYCHIATRY,4,52,1016,75.0,3,1.682425,0.0,1.2975,1359-4184,0.0,Springer Nature (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;NEUROSCIENCES;PSYCHIATRY,75.0,11.0,Q1,0,1,0,0.0,25.0,0,50,4,100.0,2.0,93.1,0,2,0.0,50.0
EXPERIMENTAL AND APPLIED ACAROLOGY,8,52,1016,100.0,3,1.8634875000000002,0.0,2.1550000000000002,0168-8162,0.0,Springer Nature (Unified),Journal,ENTOMOLOGY,37.5,2.2,Q1,0,1,0,0.0,12.5,0,51,5,62.5,0.4,76.5,0,0,0.0,0.0
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,8,52,1016,100.0,1,0.5669375,0.0,0.7662500000000001,0946-672X,0.0,Elsevier (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;ENDOCRINOLOGY & METABOLISM,12.5,3.5,Q3,0,0,0,0.0,0.0,0,50,1,12.5,1.0,46.4,0,0,0.0,0.0
OBESITY REVIEWS,2,52,1016,100.0,0,2.40025,0.0,2.825,1467-7881,0.0,Wiley (Unified),Journal,ENDOCRINOLOGY & METABOLISM,0.0,8.9,Q1,0,0,0,0.0,0.0,0,51,1,50.0,1.5,92.8,0,0,0.0,0.0
INTEGRATIVE AND COMPARATIVE BIOLOGY,11,52,1016,36.36,3,3.5907545454545455,0.0,3.273636363636364,1540-7063,0.0,Oxford University Press (Unified),Conference Proceedings,ZOOLOGY,27.27,2.6,Q1,0,3,0,0.0,27.27,0,49,11,100.0,1.2,90.1,0,1,0.0,9.09
VIRUS RESEARCH,12,52,1016,91.67,6,0.41295,0.0,0.5883333333333334,0168-1702,0.0,Elsevier (Unified),Journal,VIROLOGY,50.0,5.0,Q2,0,0,0,0.0,0.0,0,51,4,33.33,0.9,65.3,0,1,0.0,8.33
EPILEPSY & BEHAVIOR,8,52,1016,75.0,0,1.1463875000000001,0.0,1.54,1525-5050,0.0,Elsevier (Unified),Journal,BEHAVIORAL SCIENCES;CLINICAL NEUROLOGY;PSYCHIATRY,0.0,2.6,Q2,0,2,0,0.0,25.0,0,47,6,75.0,0.6,40.5,0,0,0.0,0.0
JOURNAL OF CHEMOMETRICS,6,52,1016,100.0,1,0.7103333333333334,0.0,1.0833333333333335,0886-9383,0.0,Wiley (Unified),Journal,"AUTOMATION & CONTROL SYSTEMS;CHEMISTRY, ANALYTICAL;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;INSTRUMENTS & INSTRUMENTATION;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS;STATISTICS & PROBABILITY",16.67,2.4,Q1,0,2,0,0.0,33.33,0,50,5,83.33,0.4,50.5,0,0,0.0,0.0
ALCHERINGA,14,51,1033,78.57,0,0.8191714285714287,0.0,1.3064285714285717,0311-5518,0.0,Taylor & Francis (Unified),Journal,PALEONTOLOGY,0.0,1.3,Q3,0,0,0,0.0,0.0,0,47,4,28.57,0.4,34.3,0,0,0.0,0.0
RELACIONES,91,51,1033,35.16,32,0.17005934065934067,0.0,0.6489010989010989,0325-2221,0.0,,Journal,ANTHROPOLOGY,35.16,0.6,n/a,0,0,0,0.0,0.0,0,43,6,6.59,0.1,n/a,32,0,35.16,0.0
SURFACE SCIENCE,15,51,1033,86.67,1,0.3768,0.0,0.8266666666666668,0039-6028,0.0,Elsevier (Unified),Journal,"CHEMISTRY, PHYSICAL;PHYSICS, CONDENSED MATTER",6.67,1.9,Q3,0,0,0,0.0,0.0,0,41,5,33.33,0.6,26.3,0,0,0.0,0.0
FORESTS,9,51,1033,66.67,9,0.6982444444444444,0.0,0.668888888888889,1999-4907,0.0,,Journal,FORESTRY,100.0,2.9,Q1,0,0,0,0.0,0.0,0,45,7,77.78,0.7000000000000001,76.1,9,0,100.0,0.0
BIOFUEL RESEARCH JOURNAL-BRJ,3,51,1033,100.0,3,0.42186666666666667,0.0,0.4733333333333334,2292-8782,0.0,,Journal,ENERGY & FUELS,100.0,13.0,n/a,0,0,0,0.0,0.0,0,51,0,0.0,7.6000000000000005,n/a,3,0,100.0,0.0
