Name,Rank,Web of Science Documents,Times Cited,JCI Quartile
SCIENTIA HORTICULTURAE,213,555,28010,Q1
JOURNAL OF ARCHAEOLOGICAL SCIENCE,215,551,32577,Q1
VIRUSES-BASEL,215,551,28641,Q2
AQUACULTURE,217,550,31440,Q1
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,218,549,35940,Q1
MOLECULAR AND CELLULAR ENDOCRINOLOGY,219,548,32138,Q2
JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,220,547,45102,Q1
ANIMAL BEHAVIOUR,220,547,35053,Q1
CONSTRUCTION AND BUILDING MATERIALS,222,546,53381,Q1
ADVANCED FUNCTIONAL MATERIALS,223,545,105408,Q1
INFECTION AND IMMUNITY,223,545,33814,Q2
ACTA TROPICA,225,543,20310,Q1
ISME JOURNAL,226,542,102053,Q1
CROP SCIENCE,227,541,24847,Q1
AMEGHINIANA,228,540,7168,Q4
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,229,538,67873,Q1
JOURNAL OF HYDROLOGY,230,537,56494,Q1
EARTH-SCIENCE REVIEWS,231,536,74173,Q1
MACROMOLECULES,232,531,56857,Q1
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,232,531,23410,Q2
SOFT MATTER,234,530,39167,Q2
JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,234,530,25461,Q2
BIOSENSORS & BIOELECTRONICS,234,530,49322,Q1
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,237,529,18232,Q4
CLIMATE DYNAMICS,237,529,39188,Q1
IMMUNITY,237,529,203870,Q1
ECOGRAPHY,240,528,70238,Q1
POLAR BIOLOGY,240,528,11760,Q3
BIOMED RESEARCH INTERNATIONAL,242,527,38327,n/a
BIOLOGY OF REPRODUCTION,242,527,33526,Q2
JOURNAL OF APPLIED POLYMER SCIENCE,244,525,21148,Q2
NATURE GEOSCIENCE,244,525,108915,Q1
MICROPOROUS AND MESOPOROUS MATERIALS,246,524,32079,Q1
JOURNAL OF PHYSICS-CONDENSED MATTER,247,522,72212,Q3
ACS CATALYSIS,248,520,79262,Q1
PLOS COMPUTATIONAL BIOLOGY,249,519,79376,Q1
JOURNAL OF ARID ENVIRONMENTS,250,516,19569,Q2
GREEN CHEMISTRY,251,514,87865,Q1
MBIO,252,512,42907,Q1
JOURNAL OF MOLECULAR BIOLOGY,253,511,51849,Q2
PHYTOTAXA,254,509,7558,Q3
CONSERVATION BIOLOGY,254,509,58349,Q1
MATERIALS,256,496,38141,Q2
JOURNAL OF CLINICAL MICROBIOLOGY,257,495,47003,Q1
BIODIVERSITY AND CONSERVATION,258,494,26906,Q2
FRONTIERS IN PHYSIOLOGY,259,493,33352,Q2
JOURNAL OF FOOD SCIENCE,259,493,33525,Q2
EMBO JOURNAL,261,490,82207,Q1
FRESHWATER BIOLOGY,261,490,37330,Q1
JOURNAL OF INFECTIOUS DISEASES,261,490,46245,Q1
PHYSICAL REVIEW C,264,486,34180,Q1
NEW JOURNAL OF PHYSICS,265,483,42693,Q2
ENVIRONMENTAL RESEARCH LETTERS,266,480,45245,Q1
BRAIN,266,480,90537,Q1
WATER RESOURCES RESEARCH,266,480,46740,Q1
JOURNAL OF CATALYSIS,269,479,55581,Q1
DIVERSITY AND DISTRIBUTIONS,270,477,45368,Q1
METHODS IN ECOLOGY AND EVOLUTION,271,476,97431,Q1
PEST MANAGEMENT SCIENCE,272,475,31460,Q1
FASEB JOURNAL,272,475,45167,Q1
MOLECULAR MICROBIOLOGY,274,474,39063,Q2
BMC EVOLUTIONARY BIOLOGY,274,474,45321,Q2
APPLIED ENERGY,276,472,64882,Q1
JOURNAL OF ANIMAL ECOLOGY,276,472,46737,Q1
TRENDS IN PLANT SCIENCE,276,472,106708,Q1
FRONTIERS IN PHARMACOLOGY,279,471,34625,Q1
ECOLOGICAL APPLICATIONS,280,470,48673,Q1
INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,280,470,18809,Q2
CELLULAR AND MOLECULAR LIFE SCIENCES,280,470,61498,Q2
GENERAL AND COMPARATIVE ENDOCRINOLOGY,283,469,26535,Q1
BIOGEOSCIENCES,284,468,42896,Q1
ATMOSPHERIC ENVIRONMENT,284,468,46758,Q1
BEHAVIOURAL BRAIN RESEARCH,284,468,30075,Q2
FOOD AND BIOPROCESS TECHNOLOGY,287,467,24753,Q1
ACTA BIOMATERIALIA,287,467,68774,Q1
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,289,465,29946,Q1
FEBS LETTERS,289,465,40206,Q3
ONCOGENE,289,465,67632,Q1
JOURNAL OF CELL SCIENCE,289,465,55763,Q3
FOOD AND CHEMICAL TOXICOLOGY,293,463,40341,Q1
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,294,461,25623,Q1
JOURNAL OF NEUROCHEMISTRY,295,458,35651,Q2
GEODERMA,295,458,38242,Q1
FOODS,297,457,17464,Q1
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,297,457,20590,Q2
PLANT PHYSIOLOGY AND BIOCHEMISTRY,299,456,36625,Q1
BMC PLANT BIOLOGY,300,455,32582,Q1
ENVIRONMENTAL MONITORING AND ASSESSMENT,300,455,20503,Q3
MICROCHEMICAL JOURNAL,300,455,16725,Q1
NATURE CLIMATE CHANGE,300,455,120547,Q1
GEOCHIMICA ET COSMOCHIMICA ACTA,304,454,47166,Q1
AMERICAN NATURALIST,305,452,41743,Q2
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,306,450,16112,Q1
JOURNAL OF CELL BIOLOGY,306,450,92655,Q1
ESTUARINE COASTAL AND SHELF SCIENCE,306,450,26028,Q1
CERAMICS INTERNATIONAL,309,449,22560,Q1
TECTONOPHYSICS,310,448,27046,Q2
POSTHARVEST BIOLOGY AND TECHNOLOGY,311,447,31636,Q1
JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,312,446,30265,Q1
MARINE BIOLOGY,312,446,16280,Q1
NEUROLOGY,312,446,80089,Q1
BIOLOGY LETTERS,315,445,31378,Q2
ENERGY,315,445,37673,Q1
NATURE REVIEWS MICROBIOLOGY,317,444,223231,Q1
MYCOLOGIA,317,444,19199,Q3
FEBS JOURNAL,319,443,36752,Q2
NANOTECHNOLOGY,319,443,39315,Q2
RENEWABLE ENERGY,319,443,37715,Q1
FOOD MICROBIOLOGY,319,443,33868,Q1
FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,323,442,23184,Q2
CLINICAL INFECTIOUS DISEASES,324,441,100770,Q1
EMERGING INFECTIOUS DISEASES,324,441,54858,Q1
JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,326,440,25046,Q1
JOURNAL OF MOLECULAR STRUCTURE,327,439,13016,Q3
FRONTIERS IN MARINE SCIENCE,328,437,17693,Q1
CELL METABOLISM,328,437,135478,Q1
ACTA MATERIALIA,330,436,72421,Q1
LIMNOLOGY AND OCEANOGRAPHY,331,434,41237,Q1
NATURE PHYSICS,331,434,137599,Q1
HEPATOLOGY,333,433,112606,Q1
APPLIED CLAY SCIENCE,334,431,31272,Q1
FERTILITY AND STERILITY,334,431,38469,Q1
BRAIN RESEARCH,336,430,28667,Q3
BIOMACROMOLECULES,336,430,61232,Q1
NATURE MATERIALS,338,427,388578,Q1
SENSORS,339,426,39009,Q1
BIOCHEMICAL JOURNAL,339,426,50422,Q3
REPRODUCTION,341,422,25848,Q1
JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,342,421,20712,Q2
ENVIRONMENT INTERNATIONAL,343,419,73083,Q1
JOURNAL OF MOLECULAR LIQUIDS,344,418,25764,Q1
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,345,417,38177,Q1
CARBON,346,416,79743,Q1
JOURNAL OF MAMMALOGY,346,416,18729,Q1
BIOORGANIC & MEDICINAL CHEMISTRY,348,414,25802,Q1
CELLS,348,414,22622,Q2
MEMORIAS DO INSTITUTO OSWALDO CRUZ,350,413,17191,Q2
SMALL,350,413,80709,Q1
SYSTEMATIC BIOLOGY,350,413,108538,Q1
ECOSPHERE,353,411,20813,Q2
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,354,410,29382,Q2
ACCOUNTS OF CHEMICAL RESEARCH,354,410,138114,Q1
NATURE REVIEWS IMMUNOLOGY,354,410,278922,Q1
MEAT SCIENCE,354,410,33172,Q1
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,358,409,32352,Q1
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,358,409,68083,Q1
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,360,408,32434,Q1
JOURNAL OF EVOLUTIONARY BIOLOGY,360,408,27724,Q3
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,362,407,38181,Q2
JOURNAL OF ETHNOPHARMACOLOGY,362,407,26405,Q1
NATURE METHODS,364,406,451545,Q1
JOURNAL OF MEDICAL ENTOMOLOGY,364,406,13407,Q1
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,366,405,50412,Q1
FRONTIERS IN NEUROSCIENCE,367,404,27809,Q2
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,367,404,24768,Q2
JOURNAL OF CLINICAL ONCOLOGY,367,404,128551,Q1
CIRCULATION RESEARCH,370,403,96799,Q1
PLANT SCIENCE,371,401,30440,Q1
INFECTION GENETICS AND EVOLUTION,372,398,18406,Q2
NEUROPHARMACOLOGY,372,398,29161,Q1
BRITISH JOURNAL OF PHARMACOLOGY,374,397,59543,Q1
BIOLOGICAL CONTROL,374,397,20879,Q1
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,374,397,52413,Q1
NANOMATERIALS,374,397,20894,Q2
NATURE REVIEWS MOLECULAR CELL BIOLOGY,374,397,315507,Q1
BIOLOGICAL REVIEWS,379,396,72087,Q1
INTERNATIONAL JOURNAL OF NANOMEDICINE,379,396,48968,Q1
PLANT DISEASE,381,395,13364,Q2
INTERNATIONAL JOURNAL OF CLIMATOLOGY,381,395,37932,Q2
GEOPHYSICAL JOURNAL INTERNATIONAL,383,393,28547,Q2
JOURNAL OF EXPERIMENTAL MEDICINE,383,393,111132,Q1
MICROORGANISMS,385,392,14395,Q2
JOURNAL OF FISH BIOLOGY,386,391,16262,Q2
CELL DEATH & DISEASE,387,390,31029,Q1
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,388,388,36299,Q1
WATER,389,387,12259,Q2
MOLECULAR PLANT,389,387,44513,Q1
EUROPEAN POLYMER JOURNAL,391,386,31504,Q1
NATURE IMMUNOLOGY,391,386,154019,Q1
ANTIOXIDANTS & REDOX SIGNALING,393,384,67807,Q1
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,393,384,16299,Q1
HUMAN REPRODUCTION,395,383,33215,Q1
NATURE PROTOCOLS,396,382,257980,Q1
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,396,382,43146,Q3
MYCOTAXON,396,382,4013,Q4
NATURE ECOLOGY & EVOLUTION,399,381,34871,Q1
NEW JOURNAL OF CHEMISTRY,399,381,14328,Q2
SEDIMENTARY GEOLOGY,399,381,18504,Q1
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,402,380,20985,Q1
FOOD & FUNCTION,403,379,21324,Q1
SEPARATION AND PURIFICATION TECHNOLOGY,404,378,28591,Q1
GENETICS,404,378,55744,Q2
POLYMER,404,378,39807,Q1
ICARUS,404,378,24170,Q2
FEMS MICROBIOLOGY ECOLOGY,408,376,31309,Q2
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,408,376,19396,Q2
GONDWANA RESEARCH,410,375,27698,Q1
THEORETICAL AND APPLIED GENETICS,410,375,24678,Q1
PARASITOLOGY,410,375,15720,Q2
CURRENT OPINION IN PLANT BIOLOGY,413,373,52122,Q1
CIRCULATION,414,372,202115,Q1
APPLIED SOIL ECOLOGY,415,370,20392,Q1
PLANTS-BASEL,416,368,11689,Q1
ENVIRONMENTAL RESEARCH,416,368,27599,Q1
ACS OMEGA,418,367,10864,Q2
JOURNAL OF ECONOMIC ENTOMOLOGY,418,367,13185,Q1
PLANT AND CELL PHYSIOLOGY,420,366,28036,Q1
ENERGY & FUELS,420,366,31546,Q2
CELL HOST & MICROBE,420,366,84885,Q1
JOURNAL OF ALZHEIMERS DISEASE,420,366,24883,Q2
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,420,366,11781,Q2
VETERINARY MICROBIOLOGY,425,365,21038,Q1
NATURE REVIEWS NEUROSCIENCE,426,363,235497,Q1
DEVELOPMENTAL CELL,427,362,72183,Q1
TETRAHEDRON LETTERS,427,362,10815,Q2
BIOMEDICINE & PHARMACOTHERAPY,427,362,20913,Q1
ANIMAL REPRODUCTION SCIENCE,430,361,12187,Q1
AUSTRAL ECOLOGY,430,361,9137,Q3
GENOME BIOLOGY,430,361,194751,Q1
AUTOPHAGY,433,360,51517,Q1
GENES & DEVELOPMENT,433,360,101232,Q1
ORGANIC & BIOMOLECULAR CHEMISTRY,433,360,19131,Q1
WASTE MANAGEMENT,433,360,41521,Q1
AGRONOMY JOURNAL,433,360,22051,Q1
JOURNAL OF CHEMICAL INFORMATION AND MODELING,433,360,57526,Q1
INNOVATIVE FOOD SCIENCE & EMERGING TECHNOLOGIES,433,360,23781,Q1
VIROLOGY,440,359,28220,Q2
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,441,358,12966,Q1
NATURE NANOTECHNOLOGY,441,358,269797,Q1
ENERGY AND BUILDINGS,443,357,36990,Q1
TOXINS,443,357,20804,Q2
JOURNAL OF MATERIALS CHEMISTRY,445,356,74167,n/a
INTERNATIONAL JOURNAL OF CANCER,445,356,71904,Q1
ADVANCED DRUG DELIVERY REVIEWS,447,355,132741,Q1
MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS,448,354,25518,Q1
MATERIALS LETTERS,449,353,15437,Q2
CHEMICAL GEOLOGY,450,352,48275,Q1
FRONTIERS IN CELLULAR NEUROSCIENCE,450,352,22236,Q2
CHEMICAL SCIENCE,450,352,40561,Q1
CANCERS,453,351,20536,Q2
NATURE BIOTECHNOLOGY,453,351,284701,Q1
HUMAN MOLECULAR GENETICS,453,351,37768,Q2
JOURNAL OF FUNCTIONAL FOODS,453,351,25903,Q1
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,457,350,21217,Q1
FRONTIERS IN ENDOCRINOLOGY,458,349,18936,Q2
